last_name, first_name,player_id,year,p_era,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,meatball_swing_percent,iz_contact_percent,whiff_percent,swing_percent,
Straily, Dan,573185,2017,4.26,70.5,18.9,29.8,44,54.5,80.6,80.4,26.4,49.9,
Stroman, Marcus,573186,2017,3.09,66.4,13.9,24.6,47.3,52.5,76.1,86.1,23.6,44.5,
Gausman, Kevin,592332,2017,4.68,67.3,18.6,27.9,41.5,58.3,78.4,80.8,25.8,46.5,
Ray, Robbie,592662,2017,2.89,63.6,22.7,27.5,58.7,40.5,68.9,76.2,34.2,44.7,
Martinez, Carlos,593372,2017,3.64,65,17.4,26.8,42.8,55.9,76.9,81.4,24.4,46.8,
deGrom, Jacob,594798,2017,3.53,68.8,23.9,29.7,41.8,56.7,74.2,75.1,29.1,49.9,
Bundy, Dylan,605164,2017,4.24,68.2,18.5,31.2,39.4,60,75.5,81,25.3,49.1,
Davies, Zach,605200,2017,3.90,64.9,12.9,24.7,28.7,70.3,79.2,85.5,17.7,43.4,
Fulmer, Michael,605242,2017,3.83,69.4,15.6,29.3,35.6,63.9,75.7,83.9,21.3,49.5,
Nola, Aaron,605400,2017,3.54,61.5,19.9,27.9,40.4,57.3,66.8,78.8,26.1,45.2,
Perdomo, Luis,606131,2017,4.67,65.5,12.4,26.6,41.4,56.1,70.4,86.1,21.2,45.3,
Wacha, Michael,608379,2017,4.13,66.8,18.4,26.8,35.3,64.1,80.9,81.1,22.9,47.8,
Marquez, German,608566,2017,4.39,68.2,14.8,22.9,42.9,56.7,76.6,84.6,20.5,48.7,
Blach, Ty,621389,2017,4.78,66.8,12.2,23.3,25.1,73.5,79.9,86.6,15.4,45.8,
Severino, Luis,622663,2017,2.98,67.9,20.8,28.2,47.6,52.2,79,79,28.1,49.1,
Colon, Bartolo,112526,2016,3.43,62.3,9.6,30.4,22.1,76.2,72.4,89.6,13.4,47.2,
Sabathia, CC,282332,2016,3.91,63.7,15.7,30.8,36.3,63.1,71.9,83,22.9,46.4,
Dickey, R.A.,285079,2016,4.46,66.9,20.1,26.8,33.3,66.4,82.2,79,23.6,48.1,
Lackey, John,407793,2016,3.35,67.3,16.5,31.2,43.4,55.7,75.4,82.2,25.2,49,
Wainwright, Adam,425794,2016,4.62,62.6,11.1,27.3,37.9,60.7,71,86.7,19.8,44.1,
Santana, Ervin,429722,2016,3.38,67.8,13.7,30.7,38.9,60.5,77,85.7,22.8,47.2,
Hamels, Cole,430935,2016,3.32,66.6,16.8,33.8,43,56.2,70.6,82.4,26.8,48.7,
Verlander, Justin,434378,2016,3.04,68.1,19.9,32.8,40.4,58.6,75.1,79.7,26.7,50.2,
Liriano, Francisco,434538,2016,4.69,62.2,15,29.3,48.2,49.5,76,83.4,27.9,43.3,
Hammel, Jason,434628,2016,3.83,63.5,14.7,30,41.8,57.4,67.8,84,23.5,46.6,
Nolasco, Ricky,445060,2016,4.42,66.1,11.1,29,40.3,58.7,70.6,88.5,20.7,46.5,
Kluber, Corey,446372,2016,3.14,65.7,17.6,32.3,48.4,51.4,74.1,81.8,28.1,48.5,
Shields, James,448306,2016,5.85,67.1,12.1,27.3,40,58.1,72.8,86.5,22.2,44,
Garcia, Jaime,448802,2016,4.67,63.4,13.9,27,39.2,59.1,71.4,84.2,21.1,45.8,
Volquez, Edinson,450172,2016,5.37,62.8,12.3,28.7,36.4,62.9,69.5,87,19.8,45.8,
Weaver, Jered,450308,2016,5.06,62.6,15.9,28,24.7,74.5,66.5,82.8,18.5,45.8,
Fister, Doug,450729,2016,4.64,55.7,8.9,28.1,26.2,73.1,58.4,90.1,15.6,40.5,
Lester, Jon,452657,2016,2.44,68,14.6,29.1,42.3,56.3,73,84.5,23.8,47.1,
Kennedy, Ian,453178,2016,3.68,66.6,18,28.7,35.2,63.6,75.9,81.4,23.3,47.3,
Scherzer, Max,453286,2016,2.96,68.6,24.5,33.9,49.1,50.1,76.5,74.7,32.2,51.8,
Arrieta, Jake,453562,2016,3.10,62.7,17.4,28.5,41.7,57.6,76.9,81.9,25,45.6,
Price, David,456034,2016,3.99,69.4,20.6,31.1,35.1,64.9,78.7,78.7,24.8,51,
Cueto, Johnny,456501,2016,2.79,66.3,15.3,31.7,33.8,65.1,72.5,83.9,21.6,48.2,
Happ, J.A.,457918,2016,3.18,67.7,17.7,25.8,34.1,65.6,77.9,81.7,22.2,47,
